id,"name","email","primary_phone","secondary_phone","website","address","city","state","zipcode","logo",user_id,division_id,"ad_code","bld_number",status_id,"notes","deleted_at","created_at","updated_at"
1,"Administration Building",NULL,"847-5600",NULL,"bryantschools.org","350 School Drive","Bryant","Arkansas",NULL,"admin.JPG",1,1,"ADMIN","26",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"Bryant Elementary School",NULL,"847-5642",NULL,"bryantschools.org","412 Woodland Drive","Bryant","Arkansas",NULL,"admin.JPG",1,3,"BES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"Collegeville Elementary School",NULL,"847-5670",NULL,"bryantschools.org","4818 Highway 5 north","Bryant","Arkansas",NULL,"admin.JPG",1,3,"CES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"Davis Elementary School",NULL,"455-5672",NULL,"bryantschools.org","12001 Country Line Road","Bryant","Arkansas",NULL,"admin.JPG",1,3,"DES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"Hill Farm Elementary School",NULL,"653-5950",NULL,"bryantschools.org","500 Hill Farm Road","Bryant","Arkansas",NULL,"admin.JPG",1,3,"HFES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"Hurricane Creek Elementary School",NULL,"653-1012",NULL,"bryantschools.org","6091 Alcoa Road","Bryant","Arkansas",NULL,"admin.JPG",1,3,"HCES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"Paron Elementary School",NULL,"594-5622",NULL,"bryantschools.org","22265 Highway 9","Bryant","Arkansas",NULL,"admin.JPG",1,3,"PES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"Salem Elementary School",NULL,"316-0263",NULL,"bryantschools.org","2701 Salem Road","Bryant","Arkansas",NULL,"admin.JPG",1,3,"SES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
9,"Springhill Elementary School",NULL,"847-5675",NULL,"bryantschools.org","2716 Northlake Road","Bryant","Arkansas",NULL,"admin.JPG",1,3,"SPES","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
10,"Bryant Middle School",NULL,"847-5651",NULL,"bryantschools.org","310 School Drive","Bryant","Arkansas",NULL,"admin.JPG",1,4,"BMS","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
11,"Bethel Middle School",NULL,"316-0937",NULL,"bryantschools.org","5415 Northlake Road","Bryant","Arkansas",NULL,"admin.JPG",1,4,"BEMS","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
12,"Bryant High School",NULL,"847-5605",NULL,"bryantschools.org","801 North Reynolds Road","Bryant","Arkansas",NULL,"admin.JPG",1,5,"BHS","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
13,"District",NULL,"",NULL,"bryantschools.org","","Bryant","Arkansas",NULL,"admin.JPG",1,1,"DIST","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
14,"Second Chance Ranch",NULL,"",NULL,"bryantschools.org","","Bryant","Arkansas",NULL,"admin.JPG",1,1,"SCR","",1,NULL,NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
